model,round,accuracy,n_samples
llama3b,0,0.9666666666666667,750
llama3b,1,0.6973333333333334,750
llama3b,2,0.8013333333333333,750
llama3b,3,0.8186666666666667,750
llama3b,4,0.8373333333333334,750
llama8b,0,0.9173333333333333,750
llama8b,1,0.944,750
llama8b,2,0.8626666666666667,750
llama8b,3,0.8853333333333333,750
llama8b,4,0.9,750
qwen14b,0,0.8266666666666667,750
qwen14b,1,0.952,750
qwen14b,2,0.936,750
qwen14b,3,0.9226666666666666,750
qwen14b,4,0.9213333333333333,750
qwen32b,0,0.828,750
qwen32b,1,0.9306666666666666,750
qwen32b,2,0.948,750
qwen32b,3,0.9253333333333333,750
qwen32b,4,0.924,750
qwen3b,0,0.944,750
qwen3b,1,0.936,750
qwen3b,2,0.884,750
qwen3b,3,0.912,750
qwen3b,4,0.8986666666666666,750
qwen7b,0,0.848,750
qwen7b,1,0.9333333333333333,750
qwen7b,2,0.9133333333333333,750
qwen7b,3,0.9186666666666666,750
qwen7b,4,0.9133333333333333,750
majority,0,0.964,750
majority,1,0.92,750
majority,2,0.9066666666666666,750
majority,3,0.9066666666666666,750
majority,4,0.92,750
