model,round,accuracy,n_samples
llama3b,0,0.8586666666666667,750
llama3b,1,0.8986666666666666,750
llama3b,2,0.852,750
llama3b,3,0.86,750
llama3b,4,0.8693333333333333,750
llama8b,0,0.708,750
llama8b,1,0.7786666666666666,750
llama8b,2,0.8,750
llama8b,3,0.8053333333333333,750
llama8b,4,0.8253333333333334,750
qwen14b,0,0.848,750
qwen14b,1,0.8893333333333333,750
qwen14b,2,0.9146666666666666,750
qwen14b,3,0.9093333333333333,750
qwen14b,4,0.908,750
qwen32b,0,0.844,750
qwen32b,1,0.94,750
qwen32b,2,0.936,750
qwen32b,3,0.94,750
qwen32b,4,0.9306666666666666,750
qwen3b,0,0.9,750
qwen3b,1,0.92,750
qwen3b,2,0.9173333333333333,750
qwen3b,3,0.8973333333333333,750
qwen3b,4,0.8986666666666666,750
qwen7b,0,0.8186666666666667,750
qwen7b,1,0.7133333333333334,750
qwen7b,2,0.7533333333333333,750
qwen7b,3,0.772,750
qwen7b,4,0.78,750
majority,0,0.912,750
majority,1,0.9146666666666666,750
majority,2,0.8933333333333333,750
majority,3,0.8866666666666667,750
majority,4,0.8933333333333333,750
